Context_len,op,M,K,N,B
128,qkv_gen,1,2560,7680,1
128,qk,1,2560,128,1
128,kv,1,5120,64,1
128,out_proj,1,2560,2560,1
128,up,1,2560,10240,1
128,down,1,10240,2560,1
129,qkv_gen,1,2560,7680,1
129,qk,1,2560,129,1
129,kv,1,5160,64,1
129,out_proj,1,2560,2560,1
129,up,1,2560,10240,1
129,down,1,10240,2560,1
130,qkv_gen,1,2560,7680,1
130,qk,1,2560,130,1
130,kv,1,5200,64,1
130,out_proj,1,2560,2560,1
130,up,1,2560,10240,1
130,down,1,10240,2560,1
131,qkv_gen,1,2560,7680,1
131,qk,1,2560,131,1
131,kv,1,5240,64,1
131,out_proj,1,2560,2560,1
131,up,1,2560,10240,1
131,down,1,10240,2560,1
132,qkv_gen,1,2560,7680,1
132,qk,1,2560,132,1
132,kv,1,5280,64,1
132,out_proj,1,2560,2560,1
132,up,1,2560,10240,1
132,down,1,10240,2560,1
133,qkv_gen,1,2560,7680,1
133,qk,1,2560,133,1
133,kv,1,5320,64,1
133,out_proj,1,2560,2560,1
133,up,1,2560,10240,1
133,down,1,10240,2560,1
134,qkv_gen,1,2560,7680,1
134,qk,1,2560,134,1
134,kv,1,5360,64,1
134,out_proj,1,2560,2560,1
134,up,1,2560,10240,1
134,down,1,10240,2560,1
135,qkv_gen,1,2560,7680,1
135,qk,1,2560,135,1
135,kv,1,5400,64,1
135,out_proj,1,2560,2560,1
135,up,1,2560,10240,1
135,down,1,10240,2560,1
136,qkv_gen,1,2560,7680,1
136,qk,1,2560,136,1
136,kv,1,5440,64,1
136,out_proj,1,2560,2560,1
136,up,1,2560,10240,1
136,down,1,10240,2560,1
137,qkv_gen,1,2560,7680,1
137,qk,1,2560,137,1
137,kv,1,5480,64,1
137,out_proj,1,2560,2560,1
137,up,1,2560,10240,1
137,down,1,10240,2560,1
138,qkv_gen,1,2560,7680,1
138,qk,1,2560,138,1
138,kv,1,5520,64,1
138,out_proj,1,2560,2560,1
138,up,1,2560,10240,1
138,down,1,10240,2560,1
139,qkv_gen,1,2560,7680,1
139,qk,1,2560,139,1
139,kv,1,5560,64,1
139,out_proj,1,2560,2560,1
139,up,1,2560,10240,1
139,down,1,10240,2560,1
140,qkv_gen,1,2560,7680,1
140,qk,1,2560,140,1
140,kv,1,5600,64,1
140,out_proj,1,2560,2560,1
140,up,1,2560,10240,1
140,down,1,10240,2560,1
141,qkv_gen,1,2560,7680,1
141,qk,1,2560,141,1
141,kv,1,5640,64,1
141,out_proj,1,2560,2560,1
141,up,1,2560,10240,1
141,down,1,10240,2560,1
142,qkv_gen,1,2560,7680,1
142,qk,1,2560,142,1
142,kv,1,5680,64,1
142,out_proj,1,2560,2560,1
142,up,1,2560,10240,1
142,down,1,10240,2560,1
143,qkv_gen,1,2560,7680,1
143,qk,1,2560,143,1
143,kv,1,5720,64,1
143,out_proj,1,2560,2560,1
143,up,1,2560,10240,1
143,down,1,10240,2560,1
144,qkv_gen,1,2560,7680,1
144,qk,1,2560,144,1
144,kv,1,5760,64,1
144,out_proj,1,2560,2560,1
144,up,1,2560,10240,1
144,down,1,10240,2560,1
145,qkv_gen,1,2560,7680,1
145,qk,1,2560,145,1
145,kv,1,5800,64,1
145,out_proj,1,2560,2560,1
145,up,1,2560,10240,1
145,down,1,10240,2560,1
146,qkv_gen,1,2560,7680,1
146,qk,1,2560,146,1
146,kv,1,5840,64,1
146,out_proj,1,2560,2560,1
146,up,1,2560,10240,1
146,down,1,10240,2560,1
147,qkv_gen,1,2560,7680,1
147,qk,1,2560,147,1
147,kv,1,5880,64,1
147,out_proj,1,2560,2560,1
147,up,1,2560,10240,1
147,down,1,10240,2560,1
148,qkv_gen,1,2560,7680,1
148,qk,1,2560,148,1
148,kv,1,5920,64,1
148,out_proj,1,2560,2560,1
148,up,1,2560,10240,1
148,down,1,10240,2560,1
149,qkv_gen,1,2560,7680,1
149,qk,1,2560,149,1
149,kv,1,5960,64,1
149,out_proj,1,2560,2560,1
149,up,1,2560,10240,1
149,down,1,10240,2560,1
150,qkv_gen,1,2560,7680,1
150,qk,1,2560,150,1
150,kv,1,6000,64,1
150,out_proj,1,2560,2560,1
150,up,1,2560,10240,1
150,down,1,10240,2560,1
151,qkv_gen,1,2560,7680,1
151,qk,1,2560,151,1
151,kv,1,6040,64,1
151,out_proj,1,2560,2560,1
151,up,1,2560,10240,1
151,down,1,10240,2560,1
152,qkv_gen,1,2560,7680,1
152,qk,1,2560,152,1
152,kv,1,6080,64,1
152,out_proj,1,2560,2560,1
152,up,1,2560,10240,1
152,down,1,10240,2560,1
153,qkv_gen,1,2560,7680,1
153,qk,1,2560,153,1
153,kv,1,6120,64,1
153,out_proj,1,2560,2560,1
153,up,1,2560,10240,1
153,down,1,10240,2560,1
154,qkv_gen,1,2560,7680,1
154,qk,1,2560,154,1
154,kv,1,6160,64,1
154,out_proj,1,2560,2560,1
154,up,1,2560,10240,1
154,down,1,10240,2560,1
155,qkv_gen,1,2560,7680,1
155,qk,1,2560,155,1
155,kv,1,6200,64,1
155,out_proj,1,2560,2560,1
155,up,1,2560,10240,1
155,down,1,10240,2560,1
156,qkv_gen,1,2560,7680,1
156,qk,1,2560,156,1
156,kv,1,6240,64,1
156,out_proj,1,2560,2560,1
156,up,1,2560,10240,1
156,down,1,10240,2560,1
157,qkv_gen,1,2560,7680,1
157,qk,1,2560,157,1
157,kv,1,6280,64,1
157,out_proj,1,2560,2560,1
157,up,1,2560,10240,1
157,down,1,10240,2560,1
158,qkv_gen,1,2560,7680,1
158,qk,1,2560,158,1
158,kv,1,6320,64,1
158,out_proj,1,2560,2560,1
158,up,1,2560,10240,1
158,down,1,10240,2560,1
159,qkv_gen,1,2560,7680,1
159,qk,1,2560,159,1
159,kv,1,6360,64,1
159,out_proj,1,2560,2560,1
159,up,1,2560,10240,1
159,down,1,10240,2560,1
160,qkv_gen,1,2560,7680,1
160,qk,1,2560,160,1
160,kv,1,6400,64,1
160,out_proj,1,2560,2560,1
160,up,1,2560,10240,1
160,down,1,10240,2560,1
